time,province,city,confirm,heal,dead
2020/3/4,广西,钦州,0,0,0
2020/3/5,广西,钦州,0,0,0
2020/3/6,广西,钦州,0,0,0
2020/3/7,广西,钦州,0,0,0
2020/3/8,广西,钦州,0,0,0
2020/3/9,广西,钦州,0,0,0
2020/3/10,广西,钦州,0,0,0
2020/3/11,广西,钦州,0,0,0
2020/3/12,广西,钦州,0,0,0
2020/3/13,广西,钦州,0,0,0
2020/3/14,广西,钦州,0,0,0
2020/2/7,广西,玉林,9,1,0
2020/2/8,广西,玉林,0,0,0
2020/2/9,广西,玉林,0,0,0
2020/2/10,广西,玉林,0,0,0
2020/2/11,广西,玉林,0,0,0
2020/2/12,广西,玉林,0,0,0
2020/2/13,广西,玉林,0,0,0
2020/2/14,广西,玉林,1,0,0
2020/2/15,广西,玉林,0,0,0
2020/2/16,广西,玉林,0,0,0
2020/2/17,广西,玉林,0,1,0
2020/2/18,广西,玉林,1,2,0
2020/2/19,广西,玉林,0,0,0
2020/2/20,广西,玉林,0,0,0
2020/2/21,广西,玉林,0,0,0
2020/2/22,广西,玉林,0,2,0
2020/2/23,广西,玉林,0,0,0
2020/2/24,广西,玉林,0,0,0
2020/2/25,广西,玉林,0,0,0
2020/2/26,广西,玉林,0,1,0
2020/2/27,广西,玉林,0,0,0
2020/2/28,广西,玉林,0,0,0
2020/2/29,广西,玉林,0,0,0
2020/3/1,广西,玉林,0,0,0
2020/3/2,广西,玉林,0,1,0
2020/3/3,广西,玉林,0,3,0
2020/3/4,广西,玉林,0,0,0
2020/3/5,广西,玉林,0,0,0
2020/3/6,广西,玉林,0,0,0
2020/3/7,广西,玉林,0,0,0
2020/3/8,广西,玉林,0,0,0
2020/3/9,广西,玉林,0,0,0
2020/3/10,广西,玉林,0,0,0
2020/3/11,广西,玉林,0,0,0
2020/3/12,广西,玉林,0,0,0
2020/3/13,广西,玉林,0,0,0
2020/3/14,广西,玉林,0,0,0
2020/2/7,广西,河池,15,0,0
2020/2/8,广西,河池,4,0,1
2020/2/9,广西,河池,2,0,0
2020/2/10,广西,河池,0,0,0
2020/2/11,广西,河池,0,0,0
2020/2/12,广西,河池,0,0,0
2020/2/13,广西,河池,0,0,0
2020/2/14,广西,河池,1,0,0
2020/2/15,广西,河池,0,0,0
2020/2/16,广西,河池,0,0,0
2020/2/17,广西,河池,0,0,0
2020/2/18,广西,河池,1,0,0
2020/2/19,广西,河池,0,4,0
2020/2/20,广西,河池,1,0,0
2020/2/21,广西,河池,1,0,0
2020/2/22,广西,河池,0,0,0
2020/2/23,广西,河池,2,0,0
2020/2/24,广西,河池,1,1,0
2020/2/25,广西,河池,0,0,0
2020/2/26,广西,河池,0,0,0
2020/2/27,广西,河池,0,3,0
2020/2/28,广西,河池,0,0,0
2020/2/29,广西,河池,0,0,0
2020/3/1,广西,河池,0,0,0
2020/3/2,广西,河池,0,2,0
2020/3/3,广西,河池,0,3,0
2020/3/4,广西,河池,0,2,0
2020/3/5,广西,河池,0,1,0
2020/3/6,广西,河池,0,0,0
2020/3/7,广西,河池,0,1,0
2020/3/8,广西,河池,0,1,0
2020/3/9,广西,河池,0,4,0
2020/3/10,广西,河池,0,2,0
2020/3/11,广西,河池,0,0,0
2020/3/12,广西,河池,0,2,0
2020/3/13,广西,河池,0,1,0
2020/3/14,广西,河池,0,0,0
2020/2/7,广西,防城港,16,1,0
2020/2/8,广西,防城港,0,0,0
2020/2/9,广西,防城港,1,0,0
2020/2/10,广西,防城港,0,0,0
2020/2/11,广西,防城港,0,0,0
2020/2/12,广西,防城港,0,0,0
2020/2/13,广西,防城港,0,0,0
